n,T,num_runs,num_odd,num_even
736,20,9,4,16
737,139,100,50,89
738,20,9,4,16
739,20,8,4,16
740,46,29,14,32
741,46,28,14,32
742,46,29,14,32
743,95,66,33,62
744,20,9,4,16
745,90,62,31,59
746,20,9,4,16
747,46,28,14,32
748,46,29,14,32
749,46,28,14,32
750,46,29,14,32
751,139,100,50,89
752,108,77,38,70
753,20,8,4,16
754,64,43,21,43
755,64,42,21,43
756,108,77,38,70
757,108,76,38,70
758,59,39,19,40
759,59,38,19,40
760,108,77,38,70
761,33,18,9,24
762,108,77,38,70
763,152,110,55,97
764,46,29,14,32
765,46,28,14,32
766,46,29,14,32
767,59,38,19,40
768,15,5,2,13
769,33,18,9,24
770,33,19,9,24
771,33,18,9,24
772,121,87,43,78
773,121,86,43,78
774,121,87,43,78
775,152,110,55,97
776,121,87,43,78
777,33,18,9,24
778,121,87,43,78
779,59,38,19,40
780,121,87,43,78
781,121,86,43,78
782,121,87,43,78
783,121,86,43,78
784,28,15,7,21
785,121,86,43,78
786,59,39,19,40
787,59,38,19,40
788,28,15,7,21
789,28,14,7,21
790,77,53,26,51
791,77,52,26,51
792,28,15,7,21
793,77,52,26,51
794,28,15,7,21
795,103,72,36,67
796,121,87,43,78
797,121,86,43,78
798,121,87,43,78
799,72,48,24,48
800,28,15,7,21
801,59,38,19,40
802,20,9,4,16
803,20,8,4,16
804,20,9,4,16
805,20,8,4,16
806,20,9,4,16
807,72,48,24,48
808,28,15,7,21
809,46,28,14,32
810,28,15,7,21
811,134,96,48,86
812,41,25,12,29
813,41,24,12,29
814,41,25,12,29
815,134,96,48,86
816,28,15,7,21
817,41,24,12,29
818,41,25,12,29
819,41,24,12,29
820,28,15,7,21
821,28,14,7,21
822,134,97,48,86
823,134,96,48,86
824,90,63,31,59
825,134,96,48,86
826,90,63,31,59
827,41,24,12,29
828,90,63,31,59
829,90,62,31,59
830,134,97,48,86
831,134,96,48,86
832,15,5,2,13
833,28,14,7,21
834,134,97,48,86
835,134,96,48,86
836,41,25,12,29
837,41,24,12,29
838,41,25,12,29
839,85,58,29,56
840,41,25,12,29
841,41,24,12,29
842,41,25,12,29
843,41,24,12,29
844,41,25,12,29
845,41,24,12,29
846,33,19,9,24
847,33,18,9,24
848,15,5,2,13
849,59,38,19,40
850,59,39,19,40
851,59,38,19,40
852,15,5,2,13
853,15,4,2,13
854,54,35,17,37
855,54,34,17,37
856,103,73,36,67
857,28,14,7,21
858,103,73,36,67
859,147,106,53,94
860,103,73,36,67
861,103,72,36,67
862,41,25,12,29
863,41,24,12,29
864,116,83,41,75
865,147,106,53,94
866,28,15,7,21
867,28,14,7,21
868,28,15,7,21
869,28,14,7,21
870,28,15,7,21
871,178,130,65,113
872,116,83,41,75
873,147,106,53,94
874,116,83,41,75
875,28,14,7,21
876,54,35,17,37
877,54,34,17,37
878,54,35,17,37
879,147,106,53,94
880,116,83,41,75
881,116,82,41,75
882,28,15,7,21
883,28,14,7,21
884,116,83,41,75
885,116,82,41,75
886,54,35,17,37
887,54,34,17,37
888,72,49,24,48
889,147,106,53,94
890,72,49,24,48
891,46,28,14,32
892,72,49,24,48
893,72,48,24,48
894,98,69,34,64
895,98,68,34,64
896,23,11,5,18
897,67,44,22,45
898,116,83,41,75
899,116,82,41,75
900,54,35,17,37
901,54,34,17,37
902,54,35,17,37
903,116,82,41,75
904,15,5,2,13
905,67,44,22,45
906,15,5,2,13
907,54,34,17,37
908,15,5,2,13
909,15,4,2,13
910,41,25,12,29
911,41,24,12,29
912,36,21,10,26
913,129,92,46,83
914,129,93,46,83
915,129,92,46,83
916,36,21,10,26
917,36,20,10,26
918,129,93,46,83
919,129,92,46,83
920,36,21,10,26
921,129,92,46,83
922,36,21,10,26
923,67,44,22,45
924,129,93,46,83
925,129,92,46,83
926,129,93,46,83
927,116,82,41,75
928,23,11,5,18
929,129,92,46,83
930,36,21,10,26
931,36,20,10,26
932,85,59,29,56
933,85,58,29,56
934,85,59,29,56
935,129,92,46,83
936,23,11,5,18
937,173,126,63,110
938,23,11,5,18
939,85,58,29,56
940,129,93,46,83
941,129,92,46,83
942,129,93,46,83
943,36,20,10,26
944,36,21,10,26
945,36,20,10,26
946,36,21,10,26
947,36,20,10,26
948,36,21,10,26
949,36,20,10,26
950,28,15,7,21
951,28,14,7,21
952,36,21,10,26
953,28,14,7,21
954,36,21,10,26
955,28,14,7,21
956,54,35,17,37
957,54,34,17,37
958,54,35,17,37
959,129,92,46,83
960,23,11,5,18
961,49,30,15,34
962,49,31,15,34
963,49,30,15,34
964,23,11,5,18
965,23,10,5,18
966,23,11,5,18
967,142,102,51,91
968,98,69,34,64
969,49,30,15,34
970,98,69,34,64
971,36,20,10,26
972,98,69,34,64
973,98,68,34,64
974,142,103,51,91
975,142,102,51,91
976,23,11,5,18
977,98,68,34,64
978,49,31,15,34
979,49,30,15,34
980,23,11,5,18
981,23,10,5,18
982,142,103,51,91
983,142,102,51,91
984,49,31,15,34
985,23,10,5,18
986,49,31,15,34
987,36,20,10,26
988,49,31,15,34
989,49,30,15,34
990,98,69,34,64
991,98,68,34,64
992,111,79,39,72
993,93,64,32,61
994,23,11,5,18
995,23,10,5,18
996,49,31,15,34
997,49,30,15,34
998,49,31,15,34
999,49,30,15,34
1000,111,79,39,72
1001,142,102,51,91
1002,111,79,39,72
1003,41,24,12,29
1004,67,45,22,45
1005,67,44,22,45
1006,67,45,22,45
1007,93,64,32,61
1008,111,79,39,72
1009,111,78,39,72
1010,62,41,20,42
1011,62,40,20,42
1012,111,79,39,72
1013,111,78,39,72
1014,36,21,10,26
1015,36,20,10,26
1016,49,31,15,34
1017,155,112,56,99
1018,49,31,15,34
1019,62,40,20,42
1020,49,31,15,34
1021,49,30,15,34
1022,62,41,20,42
1023,62,40,20,42
1024,10,1,0,10
1025,36,20,10,26
1026,36,21,10,26
1027,36,20,10,26
1028,124,89,44,80
1029,124,88,44,80
1030,124,89,44,80
1031,36,20,10,26
1032,124,89,44,80
1033,155,112,56,99
1034,124,89,44,80
1035,124,88,44,80
1036,124,89,44,80
1037,124,88,44,80
1038,62,41,20,42
1039,62,40,20,42
1040,31,17,8,23
1041,124,88,44,80
1042,124,89,44,80
1043,124,88,44,80
1044,31,17,8,23
1045,31,16,8,23
1046,124,89,44,80
1047,124,88,44,80
1048,31,17,8,23
1049,62,40,20,42
1050,31,17,8,23
1051,93,64,32,61
1052,80,55,27,53
1053,80,54,27,53
1054,80,55,27,53
1055,168,122,61,107
1056,31,17,8,23
1057,80,54,27,53
1058,31,17,8,23
1059,31,16,8,23
1060,124,89,44,80
1061,124,88,44,80
1062,124,89,44,80
1063,75,50,25,50
1064,31,17,8,23
1065,75,50,25,50
1066,31,17,8,23
1067,62,40,20,42
1068,23,11,5,18
1069,23,10,5,18
1070,23,11,5,18
1071,168,122,61,107
1072,31,17,8,23
1073,23,10,5,18
1074,23,11,5,18
1075,23,10,5,18
1076,31,17,8,23
1077,31,16,8,23
1078,49,31,15,34
1079,49,30,15,34
1080,44,27,13,31
1081,137,98,49,88
1082,44,27,13,31
1083,137,98,49,88
1084,44,27,13,31
1085,44,26,13,31
1086,137,99,49,88
1087,137,98,49,88
1088,18,7,3,15
1089,44,26,13,31
1090,44,27,13,31
1091,44,26,13,31
1092,31,17,8,23
1093,31,16,8,23
1094,31,17,8,23
1095,75,50,25,50
1096,93,65,32,61
1097,137,98,49,88
1098,93,65,32,61
1099,31,16,8,23
1100,93,65,32,61
1101,93,64,32,61
1102,44,27,13,31
1103,44,26,13,31
1104,18,7,3,15
1105,93,64,32,61
1106,137,99,49,88
1107,137,98,49,88
1108,18,7,3,15
1109,18,6,3,15
1110,31,17,8,23
1111,31,16,8,23
1112,44,27,13,31
1113,137,98,49,88
1114,44,27,13,31
1115,93,64,32,61
1116,44,27,13,31
1117,44,26,13,31
1118,88,61,30,58
1119,88,60,30,58
1120,18,7,3,15
1121,44,26,13,31
1122,44,27,13,31
1123,44,26,13,31
1124,44,27,13,31
1125,44,26,13,31
1126,44,27,13,31
1127,137,98,49,88
1128,18,7,3,15
1129,36,20,10,26
1130,18,7,3,15
1131,36,20,10,26
1132,62,41,20,42
1133,62,40,20,42
1134,62,41,20,42
1135,62,40,20,42
1136,106,75,37,69
1137,18,6,3,15
1138,57,37,18,39
1139,57,36,18,39
1140,106,75,37,69
1141,106,74,37,69
1142,31,17,8,23
1143,31,16,8,23
1144,106,75,37,69
1145,150,108,54,96
1146,106,75,37,69
1147,57,36,18,39
1148,44,27,13,31
1149,44,26,13,31
1150,44,27,13,31
1151,57,36,18,39
1152,26,13,6,20
1153,150,108,54,96
1154,31,17,8,23
1155,31,16,8,23
1156,31,17,8,23
1157,31,16,8,23
1158,31,17,8,23
1159,57,36,18,39
1160,119,85,42,77
1161,181,132,66,115
1162,119,85,42,77
1163,150,108,54,96
1164,119,85,42,77
1165,119,84,42,77
1166,31,17,8,23
1167,31,16,8,23
1168,119,85,42,77
1169,57,36,18,39
1170,57,37,18,39
1171,57,36,18,39
1172,119,85,42,77
1173,119,84,42,77
1174,119,85,42,77
1175,119,84,42,77
1176,119,85,42,77
1177,31,16,8,23
1178,119,85,42,77
1179,57,36,18,39
1180,57,37,18,39
1181,57,36,18,39
1182,57,37,18,39
1183,88,60,30,58
1184,26,13,6,20
1185,150,108,54,96
1186,75,51,25,50
1187,75,50,25,50
1188,75,51,25,50
1189,75,50,25,50
1190,75,51,25,50
1191,49,30,15,34
1192,26,13,6,20
1193,101,70,35,66
1194,26,13,6,20
1195,119,84,42,77
1196,119,85,42,77
1197,119,84,42,77
1198,119,85,42,77
1199,70,46,23,47
1200,18,7,3,15
1201,57,36,18,39
1202,57,37,18,39
1203,57,36,18,39
1204,18,7,3,15
1205,18,6,3,15
1206,70,47,23,47
1207,70,46,23,47
1208,18,7,3,15
1209,57,36,18,39
1210,18,7,3,15
1211,70,46,23,47
1212,44,27,13,31
1213,44,26,13,31
1214,44,27,13,31
1215,163,118,59,104
1216,26,13,6,20
1217,132,94,47,85
1218,132,95,47,85
1219,132,94,47,85
1220,39,23,11,28
1221,39,22,11,28
1222,39,23,11,28
1223,132,94,47,85
1224,39,23,11,28
1225,132,94,47,85
1226,39,23,11,28
1227,132,94,47,85
1228,39,23,11,28
1229,39,22,11,28
1230,70,47,23,47
1231,70,46,23,47
1232,26,13,6,20
1233,132,94,47,85
1234,132,95,47,85
1235,132,94,47,85
1236,26,13,6,20
1237,26,12,6,20
1238,132,95,47,85
1239,132,94,47,85
1240,88,61,30,58
1241,39,22,11,28
1242,88,61,30,58
1243,70,46,23,47
1244,88,61,30,58
1245,88,60,30,58
1246,132,95,47,85
1247,132,94,47,85
1248,39,23,11,28
1249,176,128,64,112
1250,26,13,6,20
1251,26,12,6,20
1252,132,95,47,85
1253,132,94,47,85
1254,132,95,47,85
1255,88,60,30,58
1256,39,23,11,28
1257,39,22,11,28
1258,39,23,11,28
1259,83,56,28,55
1260,39,23,11,28
1261,39,22,11,28
1262,39,23,11,28
1263,176,128,64,112
1264,39,23,11,28
1265,39,22,11,28
1266,31,17,8,23
1267,31,16,8,23
1268,39,23,11,28
1269,39,22,11,28
1270,31,17,8,23
1271,31,16,8,23
1272,57,37,18,39
1273,31,16,8,23
1274,57,37,18,39
1275,83,56,28,55
1276,57,37,18,39
1277,57,36,18,39
1278,132,95,47,85
1279,132,94,47,85
1280,13,3,1,12
1281,52,32,16,36
1282,52,33,16,36
1283,52,32,16,36
1284,26,13,6,20
1285,26,12,6,20
1286,26,13,6,20
1287,145,104,52,93
1288,101,71,35,66
1289,145,104,52,93
1290,101,71,35,66
1291,52,32,16,36
1292,101,71,35,66
1293,101,70,35,66
1294,39,23,11,28
1295,39,22,11,28
1296,26,13,6,20
1297,101,70,35,66
1298,145,105,52,93
1299,145,104,52,93
1300,26,13,6,20
1301,26,12,6,20
1302,101,71,35,66
1303,101,70,35,66
1304,26,13,6,20
1305,52,32,16,36
1306,26,13,6,20
1307,176,128,64,112
1308,145,105,52,93
1309,145,104,52,93
1310,145,105,52,93
1311,101,70,35,66
1312,114,81,40,74
1313,26,12,6,20
1314,52,33,16,36
1315,52,32,16,36
1316,52,33,16,36
1317,52,32,16,36
1318,52,33,16,36
1319,145,104,52,93
1320,114,81,40,74
1321,101,70,35,66
1322,114,81,40,74
1323,52,32,16,36
1324,26,13,6,20
1325,26,12,6,20
1326,26,13,6,20
1327,52,32,16,36
1328,114,81,40,74
1329,52,32,16,36
1330,52,33,16,36
1331,52,32,16,36
1332,114,81,40,74
1333,114,80,40,74
1334,145,105,52,93
1335,145,104,52,93
1336,70,47,23,47
1337,44,26,13,31
1338,70,47,23,47
1339,26,12,6,20
1340,70,47,23,47
1341,70,46,23,47
1342,96,67,33,63
1343,96,66,33,63
1344,13,3,1,12
1345,114,80,40,74
1346,65,43,21,44
1347,65,42,21,44
1348,114,81,40,74
1349,114,80,40,74
1350,114,81,40,74
1351,158,114,57,101
1352,52,33,16,36
1353,39,22,11,28
1354,52,33,16,36
1355,114,80,40,74
1356,52,33,16,36
1357,52,32,16,36
1358,65,43,21,44
1359,65,42,21,44
